Transaction_ID,Customer_ID,Purchase_Date,Purchased_Product_IDs,Order_Value,Order_Location,Repeat_Purchase_Score,Return_Rate
TXN00036,CUST0810,2023-10-15 05:42:39,"['PROD1014', 'PROD0300', 'PROD0906']",872000,Kota Administrasi Jakarta Timur,0.63,0.15
TXN00037,CUST2677,2023-10-09 09:34:11,['PROD0991'],219000,Pontianak,0.97,0.36
TXN00038,CUST2910,2023-08-18 12:23:17,['PROD0910'],153000,Sorong,0.49,0.41
TXN00039,CUST4054,2024-03-23 07:35:09,['PROD0356'],186000,Palangkaraya,0.62,0.15
TXN00040,CUST0859,2025-02-21 11:06:55,"['PROD1042', 'PROD0075', 'PROD0835']",1007000,Medan,0.92,0.0
TXN00041,CUST2017,2024-08-22 11:48:15,['PROD0052'],280000,Tual,0.95,0.23
TXN00042,CUST1876,2024-01-15 13:16:54,['PROD0602'],377000,Pematangsiantar,0.87,0.03
TXN00043,CUST2419,2024-10-16 06:50:34,['PROD0573'],134000,Blitar,0.93,0.15
TXN00044,CUST2827,2023-09-01 13:36:04,['PROD0838'],465000,Banjarbaru,0.89,0.32
TXN00045,CUST4185,2023-11-14 15:52:26,['PROD0746'],494000,Kendari,0.37,0.41
TXN00046,CUST2009,2024-04-04 12:37:16,['PROD0630'],489000,Cilegon,0.86,0.33
TXN00047,CUST3218,2025-04-19 09:12:13,['PROD0436'],251000,Pagaralam,0.87,0.3
TXN00048,CUST2711,2024-05-31 16:49:50,['PROD0092'],279000,Meulaboh,0.9,0.28
TXN00049,CUST0209,2025-03-21 09:53:29,['PROD0860'],303000,Jayapura,0.87,0.15
TXN00050,CUST4526,2025-02-26 19:34:02,['PROD0136'],232000,Tidore Kepulauan,0.67,0.03
TXN00051,CUST4251,2024-01-31 15:45:52,['PROD0091'],436000,Denpasar,0.04,0.47
TXN00052,CUST4905,2025-01-08 10:41:16,['PROD0413'],406000,Kendari,0.74,0.35
TXN00053,CUST4716,2024-05-23 11:18:00,['PROD0438'],347000,Langsa,0.63,0.3
TXN00054,CUST3757,2024-12-14 07:23:27,['PROD0903'],485000,Jayapura,0.26,0.41
TXN00055,CUST1002,2024-11-16 18:09:37,['PROD0182'],404000,Banjar,0.97,0.04
TXN00056,CUST0699,2025-04-09 10:08:23,['PROD0701'],500000,Ternate,0.18,0.47
TXN00057,CUST2895,2024-03-13 04:57:21,"['PROD1028', 'PROD0537', 'PROD0424', 'PROD0167']",1090000,Pangkalpinang,0.69,0.16
TXN00058,CUST3117,2024-09-20 20:35:05,['PROD1035'],304000,Kota Administrasi Jakarta Utara,0.91,0.08
TXN00059,CUST0538,2023-11-01 05:18:16,"['PROD0800', 'PROD0407']",580000,Mataram,0.66,0.33
TXN00060,CUST4188,2024-05-09 09:44:37,['PROD0750'],285000,Gorontalo,0.97,0.25
TXN00061,CUST1393,2024-09-12 19:43:41,"['PROD0321', 'PROD0510', 'PROD0595']",441000,Bekasi,0.37,0.48
TXN00062,CUST3009,2025-01-25 22:35:53,"['PROD0760', 'PROD0433', 'PROD0403']",593000,Bogor,0.32,0.5
TXN00063,CUST0205,2024-08-16 02:02:13,['PROD0239'],178000,Pariaman,0.62,0.17
TXN00064,CUST3877,2024-09-03 17:18:22,"['PROD0749', 'PROD0670']",531000,Blitar,0.8,0.3
TXN00065,CUST0775,2024-11-05 14:41:02,"['PROD0246', 'PROD0397', 'PROD0566']",766000,Sawahlunto,0.93,0.02
TXN00066,CUST4453,2025-07-23 22:47:38,['PROD0786'],363000,Kota Administrasi Jakarta Utara,0.97,0.02
TXN00067,CUST1710,2024-10-11 04:56:19,['PROD0442'],208000,Sawahlunto,0.71,0.14
TXN00068,CUST3864,2024-09-10 09:06:03,"['PROD0831', 'PROD0911', 'PROD1052']",604000,Prabumulih,0.87,0.34
TXN00069,CUST0564,2024-10-31 00:32:03,['PROD0672'],297000,Makassar,0.3,0.45
TXN00070,CUST3134,2024-10-07 02:30:39,"['PROD0677', 'PROD0375']",288000,Kota Administrasi Jakarta Barat,0.14,0.49
TXN00071,CUST1351,2024-12-22 15:49:09,['PROD0909'],201000,Banjar,0.56,0.43
TXN00072,CUST0619,2024-01-19 12:37:57,"['PROD0389', 'PROD0765']",438000,Palu,0.57,0.44
TXN00073,CUST2534,2025-07-01 06:25:59,"['PROD1045', 'PROD0928', 'PROD0535', 'PROD0618']",1135000,Bandar Lampung,0.72,0.33
TXN00074,CUST3430,2024-03-25 11:21:09,['PROD0285'],137000,Cilegon,0.73,0.21
TXN00075,CUST1853,2024-03-01 03:06:56,['PROD0290'],274000,Cimahi,0.74,0.35
TXN00076,CUST1688,2024-04-07 16:54:02,"['PROD0402', 'PROD0613', 'PROD0003', 'PROD0568']",974000,Semarang,0.98,0.22
TXN00077,CUST0500,2025-01-26 15:21:45,['PROD0007'],151000,Kota Administrasi Jakarta Timur,0.62,0.26
TXN00078,CUST4714,2025-07-05 17:16:09,"['PROD0478', 'PROD0703', 'PROD0082']",749000,Sibolga,0.99,0.16
TXN00079,CUST0187,2025-04-11 20:38:55,['PROD0754'],100000,Pasuruan,0.58,0.47
TXN00080,CUST3287,2024-02-02 00:04:20,"['PROD0266', 'PROD0596', 'PROD0826']",908000,Palu,0.81,0.22
TXN00081,CUST3220,2025-06-09 23:58:57,"['PROD0502', 'PROD0817', 'PROD0146', 'PROD0984']",1004000,Pangkalpinang,0.67,0.23
TXN00082,CUST2242,2024-08-22 08:18:27,['PROD0986'],164000,Ternate,0.97,0.37
TXN00083,CUST4548,2024-01-29 16:47:11,['PROD0316'],154000,Binjai,0.79,0.24
TXN00084,CUST1294,2024-10-29 23:12:57,['PROD0123'],355000,Prabumulih,0.92,0.04
TXN00085,CUST0271,2023-11-25 13:25:57,['PROD0742'],423000,Pariaman,0.15,0.44
TXN00086,CUST0166,2024-01-02 03:17:54,"['PROD0191', 'PROD0626']",535000,Kediri,0.87,0.0
TXN00087,CUST1083,2025-02-24 10:58:14,['PROD0812'],424000,Pangkalpinang,0.99,0.13
TXN00088,CUST2722,2024-03-10 18:21:05,"['PROD0684', 'PROD0782']",566000,Palembang,0.7,0.24
TXN00089,CUST4579,2025-02-23 13:31:54,"['PROD0722', 'PROD0676', 'PROD0078']",1000000,Tasikmalaya,0.8,0.19
TXN00090,CUST1086,2024-12-16 13:06:50,['PROD0879'],302000,Meulaboh,0.68,0.35
TXN00091,CUST3185,2023-09-11 06:11:28,['PROD0124'],318000,Banjarbaru,0.27,0.43
TXN00092,CUST1216,2023-09-26 09:23:34,"['PROD0796', 'PROD0371']",470000,Sibolga,0.79,0.13
TXN00093,CUST0238,2024-07-30 15:18:55,"['PROD0134', 'PROD0388']",340000,Tebingtinggi,0.71,0.22
TXN00094,CUST3319,2023-09-04 02:06:49,['PROD0706'],390000,Magelang,0.97,0.37
TXN00095,CUST2863,2025-01-26 05:24:14,"['PROD0039', 'PROD0203']",444000,Kota Administrasi Jakarta Selatan,0.02,0.45
TXN00096,CUST4944,2024-10-02 00:46:24,['PROD0652'],484000,Depok,0.88,0.04
TXN00097,CUST4806,2025-02-25 07:09:11,['PROD0927'],292000,Sawahlunto,0.85,0.26
TXN00098,CUST4624,2025-06-30 15:49:06,['PROD0443'],195000,Tarakan,0.78,0.02
TXN00099,CUST4631,2023-10-11 17:55:41,['PROD0776'],416000,Banjarbaru,0.73,0.28
TXN00100,CUST1238,2024-07-06 05:47:51,['PROD0403'],282000,Tomohon,0.85,0.21
TXN00101,CUST2056,2024-04-13 18:10:46,"['PROD0387', 'PROD0624']",372000,Tanjungbalai,0.2,0.45
TXN00102,CUST1665,2024-06-11 05:26:54,"['PROD0806', 'PROD0356', 'PROD0626', 'PROD0805']",1004000,Manado,0.67,0.29
TXN00103,CUST2494,2025-03-22 07:45:43,['PROD0895'],144000,Langsa,0.66,0.36
TXN00104,CUST3149,2023-09-27 15:23:47,['PROD0317'],127000,Sorong,0.43,0.43
TXN00105,CUST2830,2024-05-31 05:20:34,['PROD0735'],294000,Padang,0.99,0.12
TXN00106,CUST2217,2023-12-05 18:15:23,['PROD0222'],181000,Palembang,0.94,0.08
TXN00107,CUST4431,2024-09-12 06:39:13,['PROD0439'],123000,Magelang,0.67,0.05
TXN00108,CUST4533,2023-09-19 05:35:23,"['PROD0831', 'PROD0082', 'PROD0356', 'PROD0853']",884000,Samarinda,0.85,0.37
TXN00109,CUST3240,2024-01-05 01:58:03,['PROD0203'],324000,Pagaralam,0.82,0.33
TXN00110,CUST1400,2024-03-28 04:27:06,['PROD0443'],195000,Denpasar,0.7,0.21
TXN00111,CUST0619,2025-04-30 05:31:24,['PROD0145'],472000,Bogor,0.27,0.42
TXN00112,CUST0631,2024-06-16 01:10:10,"['PROD1000', 'PROD0396']",413000,Mojokerto,0.96,0.38
TXN00113,CUST2147,2024-06-21 10:22:26,"['PROD0450', 'PROD0972']",608000,Subulussalam,0.92,0.17
TXN00114,CUST0755,2024-03-11 15:36:27,['PROD0324'],456000,Dumai,0.7,0.26
TXN00115,CUST4354,2025-01-25 20:12:48,['PROD0399'],127000,Denpasar,0.07,0.41
TXN00116,CUST0538,2024-07-21 11:53:48,['PROD0726'],256000,Gorontalo,0.83,0.31
TXN00117,CUST2282,2024-07-23 16:18:42,['PROD0996'],444000,Singkawang,0.82,0.27
TXN00118,CUST0793,2024-11-26 07:45:22,['PROD0669'],157000,Bitung,0.62,0.21
TXN00119,CUST2611,2023-12-02 14:59:34,['PROD0890'],108000,Probolinggo,0.9,0.18
TXN00120,CUST2567,2024-06-11 19:09:22,"['PROD1018', 'PROD0382']",454000,Tanjungpinang,0.62,0.01
TXN00121,CUST0162,2024-04-18 14:17:17,['PROD0971'],281000,Mojokerto,0.86,0.27
TXN00122,CUST2484,2025-08-10 11:47:36,['PROD0303'],142000,Palopo,0.91,0.2
TXN00123,CUST1250,2024-07-24 19:39:32,['PROD0314'],131000,Tidore Kepulauan,0.62,0.14
TXN00124,CUST0958,2024-04-07 04:55:53,"['PROD0612', 'PROD0283']",525000,Bontang,0.61,0.18
TXN00125,CUST3888,2023-12-21 12:20:46,"['PROD0567', 'PROD0329']",311000,Pariaman,0.61,0.14
TXN00126,CUST0081,2025-07-15 06:34:06,['PROD1025'],397000,Bekasi,0.95,0.2
TXN00127,CUST0758,2025-02-04 02:09:23,['PROD0617'],483000,Bukittinggi,0.96,0.39
TXN00128,CUST2378,2023-11-23 05:30:00,['PROD0765'],286000,Solok,0.93,0.37
TXN00129,CUST1197,2024-12-14 15:56:04,['PROD0720'],478000,Padang,0.65,0.09
TXN00130,CUST3124,2024-07-16 17:56:55,"['PROD0833', 'PROD0735']",611000,Langsa,0.73,0.3
TXN00131,CUST1497,2025-02-11 16:01:20,"['PROD0854', 'PROD0660']",485000,Sukabumi,0.85,0.13
TXN00132,CUST1295,2023-09-07 08:48:07,"['PROD0279', 'PROD0802']",229000,Subulussalam,0.29,0.49
TXN00133,CUST0495,2023-10-23 01:30:28,['PROD0020'],400000,Medan,0.15,0.4
TXN00134,CUST3160,2024-09-23 13:10:15,['PROD0678'],393000,Payakumbuh,0.74,0.03
TXN00135,CUST3659,2024-05-09 03:56:09,['PROD0392'],298000,Sukabumi,0.61,0.16
TXN00136,CUST4317,2025-02-20 13:47:20,['PROD0628'],172000,Singkawang,0.73,0.05
TXN00137,CUST1394,2023-08-23 12:42:44,"['PROD1053', 'PROD0783']",538000,Banda Aceh,0.78,0.06
TXN00138,CUST4856,2024-11-13 00:21:54,['PROD0247'],431000,Mataram,0.91,0.12
TXN00139,CUST4831,2024-12-18 11:16:52,"['PROD0753', 'PROD0527', 'PROD0864', 'PROD0472']",1770000,Bitung,0.69,0.16
TXN00140,CUST4956,2025-05-13 11:02:04,['PROD0615'],258000,Sabang,0.84,0.02
TXN00141,CUST3289,2024-10-10 19:03:07,['PROD0723'],160000,Gorontalo,0.74,0.38
TXN00142,CUST2790,2025-07-16 14:39:03,['PROD0033'],126000,Bogor,0.01,0.49
TXN00143,CUST0207,2023-12-04 03:23:55,['PROD0704'],485000,Blitar,0.97,0.18
TXN00144,CUST0615,2025-01-19 08:39:27,['PROD0516'],448000,Sungai Penuh,0.7,0.05
TXN00145,CUST0555,2023-10-09 11:00:04,"['PROD0607', 'PROD0217']",945000,Sibolga,0.92,0.35
TXN00146,CUST4431,2025-06-04 06:06:07,['PROD1020'],496000,Bontang,0.71,0.03
TXN00147,CUST0998,2024-11-13 09:06:13,"['PROD0564', 'PROD0084']",505000,Kediri,0.87,0.02
TXN00148,CUST2902,2023-09-28 05:56:44,['PROD0497'],231000,Depok,0.79,0.22
TXN00149,CUST3843,2024-09-21 03:49:23,['PROD1036'],314000,Payakumbuh,0.42,0.45
TXN00150,CUST4252,2023-09-10 15:44:10,['PROD0285'],137000,Ambon,0.68,0.16
TXN00151,CUST2371,2024-04-09 04:39:57,['PROD0801'],350000,Pasuruan,0.71,0.36
TXN00152,CUST1787,2025-03-09 16:44:12,"['PROD0634', 'PROD0113']",737000,Banjarmasin,0.82,0.18
TXN00153,CUST2529,2024-01-16 01:16:30,['PROD0190'],431000,Sabang,0.93,0.31
TXN00154,CUST2141,2025-07-05 11:44:31,['PROD0170'],213000,Tangerang,0.99,0.08
TXN00155,CUST2917,2024-07-18 03:56:40,['PROD0514'],331000,Kota Administrasi Jakarta Selatan,0.9,0.26
TXN00156,CUST2156,2023-08-17 17:04:37,['PROD0874'],437000,Jambi,0.24,0.49
TXN00157,CUST0858,2024-08-06 01:38:47,['PROD0073'],182000,Palopo,0.78,0.24
TXN00158,CUST4563,2024-10-21 20:40:34,['PROD0438'],347000,Bekasi,0.37,0.47
TXN00159,CUST0720,2024-12-11 19:27:03,"['PROD0023', 'PROD0420', 'PROD0075', 'PROD0835']",1340000,Tangerang Selatan,0.66,0.34
TXN00160,CUST1948,2024-01-22 05:25:05,['PROD0194'],249000,Tasikmalaya,0.62,0.03
TXN00161,CUST1959,2025-08-02 08:15:55,['PROD0787'],170000,Kota Administrasi Jakarta Barat,0.79,0.22
TXN00162,CUST2383,2025-07-07 10:05:30,['PROD0099'],330000,Yogyakarta,0.83,0.37
TXN00163,CUST0975,2023-08-23 05:52:55,['PROD0244'],233000,Salatiga,0.86,0.29
TXN00164,CUST0027,2023-10-07 11:57:45,['PROD0188'],262000,Langsa,0.58,0.44
TXN00165,CUST2226,2025-06-15 16:05:46,['PROD0270'],230000,Bima,0.79,0.13
TXN00166,CUST1250,2024-11-22 19:57:16,"['PROD0688', 'PROD0353', 'PROD0179']",948000,Singkawang,0.3,0.48
TXN00167,CUST1914,2025-02-04 04:49:11,['PROD0125'],429000,Banjarmasin,0.86,0.3
TXN00168,CUST0990,2025-05-19 10:18:57,['PROD0401'],274000,Denpasar,1.0,0.36
TXN00169,CUST4975,2025-01-15 02:50:10,"['PROD0432', 'PROD0412']",583000,Solok,0.74,0.09
TXN00170,CUST0280,2024-03-02 02:52:38,"['PROD0827', 'PROD0158', 'PROD0851']",966000,Salatiga,0.65,0.05
TXN00171,CUST4324,2023-12-06 14:41:47,['PROD0522'],248000,Kota Administrasi Jakarta Selatan,0.65,0.2
TXN00172,CUST2811,2025-05-09 16:17:31,"['PROD0382', 'PROD0197']",506000,Tegal,0.74,0.12
TXN00173,CUST1363,2023-12-18 12:14:22,['PROD0797'],127000,Purwokerto,0.67,0.18
TXN00174,CUST1735,2024-05-25 14:23:47,['PROD0776'],416000,Pagaralam,0.63,0.12
TXN00175,CUST3596,2023-12-31 05:11:54,"['PROD0662', 'PROD0443', 'PROD0290']",699000,Jambi,0.93,0.38
TXN00176,CUST4094,2024-11-09 21:47:32,['PROD1044'],226000,Padang Sidempuan,0.89,0.3
TXN00177,CUST0844,2024-01-03 02:24:10,['PROD0704'],485000,Pematangsiantar,1.0,0.38
TXN00178,CUST3741,2024-05-10 03:40:00,['PROD0906'],247000,Depok,0.86,0.19
TXN00179,CUST4984,2023-09-27 21:27:49,['PROD0838'],465000,Cirebon,0.8,0.24
TXN00180,CUST3193,2023-10-26 06:03:49,['PROD0612'],411000,Parepare,0.81,0.28
TXN00181,CUST4614,2024-01-11 12:42:53,['PROD0606'],345000,Malang,0.85,0.22
TXN00182,CUST2650,2024-07-27 13:10:05,['PROD0629'],238000,Pematangsiantar,0.79,0.32
TXN00183,CUST4217,2024-05-22 23:28:05,['PROD0900'],235000,Sawahlunto,0.84,0.27
TXN00184,CUST1717,2024-05-07 02:48:45,['PROD0995'],290000,Banda Aceh,0.97,0.14
TXN00185,CUST1544,2025-03-23 05:08:39,['PROD0081'],262000,Pasuruan,0.83,0.31
TXN00186,CUST2418,2024-12-16 11:40:50,"['PROD0471', 'PROD0058', 'PROD0999']",896000,Kota Administrasi Jakarta Timur,0.81,0.1
TXN00187,CUST2578,2024-12-25 05:38:31,"['PROD0056', 'PROD0747', 'PROD0794']",731000,Medan,0.16,0.46
TXN00188,CUST3179,2024-06-16 13:51:11,['PROD0449'],314000,Solok,0.27,0.45
TXN00189,CUST0172,2024-11-19 22:22:31,['PROD0219'],180000,Tangerang,0.63,0.04
TXN00190,CUST0882,2023-12-01 17:52:31,"['PROD0100', 'PROD0780', 'PROD0479']",484000,Manado,0.73,0.07
TXN00191,CUST3285,2025-02-10 03:18:00,['PROD0304'],486000,Batu,0.61,0.2
TXN00192,CUST2235,2025-06-24 21:27:44,['PROD0573'],134000,Sorong,0.91,0.26
TXN00193,CUST0551,2025-04-08 18:43:15,"['PROD0840', 'PROD0614']",631000,Sawahlunto,0.75,0.21
TXN00194,CUST3994,2024-12-27 10:36:47,['PROD0807'],449000,Palopo,0.73,0.32
TXN00195,CUST3149,2025-07-11 09:56:25,['PROD0595'],106000,Tual,0.34,0.45
TXN00196,CUST2932,2023-10-31 05:36:57,['PROD0966'],291000,Cilegon,0.82,0.13
TXN00197,CUST0117,2024-06-29 11:00:25,['PROD0854'],340000,Palembang,0.23,0.43
TXN00198,CUST2301,2025-06-12 08:42:06,['PROD0229'],258000,Mataram,0.63,0.06
TXN00199,CUST3104,2025-06-23 11:39:54,['PROD0360'],494000,Purwokerto,0.41,0.43
TXN00200,CUST1470,2023-08-17 05:01:51,['PROD0555'],193000,Lhokseumawe,0.7,0.14
TXN00201,CUST3308,2024-12-06 19:21:00,['PROD0498'],452000,Medan,0.87,0.07
TXN00202,CUST1775,2024-06-16 13:07:29,['PROD0812'],424000,Pariaman,0.69,0.07
TXN00203,CUST1726,2024-05-14 06:44:58,"['PROD0757', 'PROD0468', 'PROD0962']",793000,Sabang,0.79,0.03
TXN00204,CUST1061,2024-03-19 13:15:33,['PROD0120'],145000,Kota Administrasi Jakarta Pusat,0.65,0.31
TXN00205,CUST4575,2025-08-14 13:26:28,"['PROD0416', 'PROD0200']",334000,Pangkalpinang,0.75,0.35
TXN00206,CUST0647,2025-06-23 02:15:24,['PROD0150'],239000,Palu,0.76,0.38
TXN00207,CUST2664,2025-01-26 03:51:51,['PROD1000'],192000,Bukittinggi,0.38,0.44
TXN00208,CUST4435,2024-05-08 18:36:51,"['PROD0330', 'PROD0915']",480000,Palangkaraya,0.31,0.45
TXN00209,CUST4370,2025-07-13 23:35:24,['PROD0850'],406000,Surabaya,0.5,0.48
TXN00210,CUST4972,2024-10-07 02:49:32,['PROD0386'],275000,Padang Sidempuan,0.88,0.38
TXN00211,CUST4632,2023-11-15 05:00:04,['PROD0952'],248000,Bau-Bau,0.93,0.36
TXN00212,CUST3750,2024-03-05 13:21:46,['PROD0512'],409000,Magelang,0.71,0.35
TXN00213,CUST2397,2024-07-06 05:06:38,['PROD0720'],478000,Batu,0.63,0.15
TXN00214,CUST2947,2025-03-28 14:04:18,"['PROD0189', 'PROD0940']",295000,Subulussalam,0.67,0.33
TXN00215,CUST2113,2024-01-10 10:28:05,"['PROD1000', 'PROD1044']",418000,Pagaralam,0.06,0.44
TXN00216,CUST1275,2025-08-13 04:07:13,['PROD1027'],482000,Kendari,0.76,0.35
TXN00217,CUST2143,2024-06-02 20:06:16,['PROD1017'],167000,Tarakan,0.87,0.3
TXN00218,CUST3524,2023-08-24 20:02:39,"['PROD0958', 'PROD0914']",441000,Lhokseumawe,0.91,0.04
TXN00219,CUST0720,2024-12-15 15:54:31,['PROD0708'],230000,Bogor,0.09,0.49
TXN00220,CUST0312,2025-06-15 00:38:13,['PROD0354'],176000,Kendari,0.98,0.22
TXN00221,CUST1889,2024-07-24 02:27:09,"['PROD0550', 'PROD1030']",587000,Solok,0.88,0.3
TXN00222,CUST3144,2025-04-23 17:05:26,['PROD0353'],112000,Pasuruan,0.17,0.45
TXN00223,CUST1054,2025-06-23 02:15:59,['PROD0850'],406000,Ternate,0.67,0.11
TXN00224,CUST2174,2024-07-15 19:24:40,"['PROD0734', 'PROD0198']",325000,Mataram,0.85,0.32
TXN00225,CUST3814,2024-05-30 04:28:36,['PROD0489'],492000,Mojokerto,0.63,0.27
TXN00226,CUST2758,2024-03-30 20:12:49,"['PROD0607', 'PROD0650']",957000,Kendari,0.92,0.24
TXN00227,CUST0003,2025-04-09 23:03:34,"['PROD0797', 'PROD0116', 'PROD0410']",637000,Binjai,0.2,0.43
TXN00228,CUST1554,2024-04-22 07:06:14,['PROD0624'],104000,Padang,0.8,0.16
TXN00229,CUST0594,2025-04-23 15:47:31,"['PROD0024', 'PROD0549', 'PROD0442']",921000,Banda Aceh,0.89,0.35
TXN00230,CUST3293,2023-11-17 02:32:32,"['PROD0491', 'PROD0335']",405000,Sabang,0.14,0.43
TXN00231,CUST0493,2025-04-07 10:41:39,['PROD0170'],213000,Lhokseumawe,0.33,0.42
TXN00232,CUST4669,2024-08-30 20:57:57,['PROD0966'],291000,Pangkalpinang,0.85,0.28
TXN00233,CUST0846,2024-10-29 09:16:15,['PROD0396'],221000,Kendari,0.88,0.06
TXN00234,CUST2277,2024-05-31 07:50:14,['PROD0566'],289000,Batam,0.65,0.29
TXN00235,CUST1161,2024-04-04 16:01:40,['PROD0282'],154000,Banjarbaru,0.26,0.49
TXN00236,CUST3615,2024-03-27 22:17:58,['PROD0245'],434000,Tual,0.8,0.03
TXN00237,CUST2647,2025-03-14 00:25:55,['PROD0422'],208000,Kota Administrasi Jakarta Selatan,0.63,0.05
TXN00238,CUST0980,2024-02-12 19:15:18,['PROD0760'],194000,Semarang,0.85,0.27
TXN00239,CUST2482,2024-05-18 09:08:32,['PROD0614'],400000,Bengkulu,0.38,0.47
TXN00240,CUST4200,2024-01-20 13:25:57,['PROD0400'],259000,Serang,0.95,0.34
TXN00241,CUST0078,2025-05-18 21:49:56,"['PROD0025', 'PROD0399', 'PROD1018']",408000,Pangkalpinang,0.16,0.41
TXN00242,CUST0504,2023-09-08 10:52:16,['PROD0936'],177000,Jayapura,0.44,0.41
TXN00243,CUST2589,2024-03-17 06:56:16,['PROD0567'],201000,Kediri,0.86,0.35
TXN00244,CUST1722,2024-03-16 00:12:51,['PROD1044'],226000,Palembang,0.89,0.0
TXN00245,CUST3696,2024-09-11 10:33:19,['PROD0418'],201000,Blitar,0.73,0.12
TXN00246,CUST0244,2024-08-04 10:34:17,['PROD0957'],346000,Bengkulu,0.83,0.38
TXN00247,CUST0681,2024-10-20 01:36:51,"['PROD0166', 'PROD0429']",504000,Dumai,0.82,0.29
TXN00248,CUST3809,2025-02-16 06:00:05,"['PROD1010', 'PROD0401', 'PROD0054', 'PROD1012']",1029000,Cirebon,0.94,0.1
TXN00249,CUST1515,2023-12-05 09:02:26,"['PROD0045', 'PROD0413']",640000,Tangerang,0.58,0.43
TXN00250,CUST2874,2024-04-14 10:56:54,['PROD1048'],136000,Salatiga,0.86,0.02
TXN00251,CUST0736,2025-05-04 23:01:07,['PROD0898'],409000,Depok,0.75,0.24
TXN00252,CUST3345,2023-10-07 03:36:01,"['PROD0502', 'PROD1034']",305000,Ternate,0.37,0.47
TXN00253,CUST3000,2025-01-21 05:00:02,['PROD0967'],396000,Kediri,0.7,0.38
